file,analog_p50_ber,tdm_symbols_per_s,sparse_active_k
out\pathb_16ch_strongsa_tdm_k1.json,0.0,,
out\pathb_16ch_strongsa_tdm_k2.json,0.0,,
out\pathb_16ch_strongsa_tdm_k4.json,0.0,,
out\pathb_16ch_strongsa_tdm_k8.json,0.0,,
out\pathb_16ch_lightsa_tdm_k4.json,0.0,,
out\pathb_16ch_lightsa_tdm_k8.json,0.125,,
out\pathb_16ch_lightsa_tdm_k8_metrics.json,0.125,10000000.0,8
out\pathb_32ch_strongsa_tdm_k8.json,0.0,5000000.0,8
out\pathb_32ch_strongsa_tdm_k16.json,0.0625,10000000.0,16
out\pathb_16ch_strongsa_tdm_k8_rotate.json,0.0,5882352.94117647,8
out\pathb_16ch_strongsa_tdm_k8_drift.json,0.0,10000000.0,8
out\pathb_16ch_strongsa_tdm_k8_driftOn.json,0.0,10000000.0,8
out\pathb_16ch_strongsa_tdm_k8_drift_s12102.json,0.0,10000000.0,8
out\pathb_16ch_strongsa_tdm_k8_drift_s12103.json,0.0,10000000.0,8
out\pathb_16ch_lightsa_tdm_k8_drift_s12201.json,0.0,10000000.0,8
out\pathb_16ch_lightsa_tdm_k8_drift_s12202.json,0.125,10000000.0,8
out\pathb_16ch_lightsa_tdm_k8_drift_s12203.json,0.125,10000000.0,8
out\mvp_16_strongsa_k8.json,0.0,10000000.0,8
out\mvp_16_lightsa_k4.json,0.0,5000000.0,4
out\mvp_32_strongsa_k8.json,0.0,5000000.0,8
out\mvp_32_strongsa_k16.json,0.0,10000000.0,16
